Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
50 - 59;Other;France;50 - 249 (medium);Financial Services;3;3;750;1;3;2;4;3;Hybrid (in-person + virtual);0;The atmosphere was mixed. Morning sessions felt energetic but the afternoon became noticeably quieter.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
30 - 39;Female;France;10 - 49 (small);Financial Services;18;5;600;0;2;1;2;1;In-person only;0;The event felt rushed and poorly paced. There was little opportunity to connect meaningfully with other participants.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
60 or older;Male;Germany;250 - 999 (large);Technology / Software;11;7;100;2;5;5;4;3;Hybrid (in-person + virtual);4;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
60 or older;Female;Other non-EU;50 - 249 (medium);Financial Services;7;3;600;1;2;2;1;1;In-person only;0;The venue was uncomfortable and overcrowded, which negatively affected the overall experience from the start.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;I would need to see significant improvements in deal flow quality and tighter vetting of presenting companies before considering a return.
50 - 59;Male;Switzerland;50 - 249 (medium);Technology / Software;11;5;1200;0;3;2;1;1;In-person only;1;I found the atmosphere a bit chaotic. The schedule ran late and the session transitions were poorly managed.;Disappointed by the quality of the pipeline. Many presentations lacked the financial rigour we require before entering any serious dialogue.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
50 - 59;Male;United Kingdom;250 - 999 (large);Other;17;3;400;3;4;4;4;2;Hybrid (in-person + virtual);2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
50 - 59;Female;Other EU;1 - 9 (micro);Technology / Software;18;6;950;4;4;5;5;4;No preference;5;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I see a strong probability of at least two deals progressing from today. Several companies matched our thesis precisely and follow-up calls are already scheduled.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Female;France;10 - 49 (small);Other;7;8;850;0;1;2;2;2;In-person only;1;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
30 - 39;Male;United Kingdom;50 - 249 (medium);Energy / Cleantech;17;4;450;1;3;3;4;4;Hybrid (in-person + virtual);3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;A more focused industry track and pre-scheduled one-on-one meetings would make me return. The overall format is already strong.
30 - 39;Male;Netherlands;50 - 249 (medium);Other;11;8;600;1;2;3;1;1;No preference;0;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Unlikely to result in an acquisition for us. The industries represented did not overlap with our current investment thesis.;The event would need to attract more senior decision-makers. Too many attendees were junior representatives without deal authority.
50 - 59;Female;Other EU;1 - 9 (micro);Technology / Software;20;7;1150;0;2;3;1;1;Hybrid (in-person + virtual);0;The energy was low. Many attendees seemed disengaged during the presentations and the networking breaks were too short.;Most companies were not investment-ready. Without more developed metrics and clearer go-to-market plans, deals are unlikely to progress quickly.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
50 - 59;Male;Other non-EU;1 - 9 (micro);Healthcare / Life Sciences;10;5;450;4;2;3;5;5;No preference;3;Buzzing with energy from start to finish. The format encouraged real dialogue rather than superficial small talk.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
40 - 49;Male;Germany;50 - 249 (medium);Financial Services;13;2;750;2;3;4;3;3;Hybrid (in-person + virtual);1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
50 - 59;Female;Germany;50 - 249 (medium);Energy / Cleantech;14;3;750;5;5;3;3;4;Hybrid (in-person + virtual);3;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;I left with a strong sense that at least one deal will close. The matching between investor focus areas and company profiles was well done.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
60 or older;Prefer not to say;France;10 - 49 (small);Financial Services;16;5;600;2;2;3;3;3;In-person only;2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
